"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3573.51229302559
"2","member","Sunday",918.629850049811
"3","casual","Monday",3399.00397793014
"4","member","Monday",834.768815885724
"5","casual","Tuesday",3581.84021509935
"6","member","Tuesday",833.592614169341
"7","casual","Wednesday",3705.22274040004
"8","member","Wednesday",824.183690294865
"9","casual","Thursday",3706.05390605868
"10","member","Thursday",823.300126716994
"11","casual","Friday",3781.39416328951
"12","member","Friday",824.181883259187
"13","casual","Saturday",3321.58261774154
"14","member","Saturday",969.965424851515
